antecedents	consequents	confidence	support	conviction
Costruzione, Ricezione	Passaggio	0.9240374609781478	0.017100106875667972	2.747486285080656
Passaggio Intercettato, Ricezione	Passaggio	0.9109263657957244	0.014770024745087089	2.34307307663916
Smarcamento	Passaggio	0.8972780298120544	0.05332229272378898	2.031756534269966
Smarcamento, Ricezione	Passaggio	0.8958852867830425	0.013836066205143513	2.004577717152569
Ricezione	Passaggio	0.8810626023787479	0.11911341337775253	1.7547553445473312
Movimenti Offensivi, Ricezione	Passaggio	0.8806767586821015	0.019045051464004082	1.7490811667310717
Movimenti Offensivi	Passaggio	0.877124718410813	0.041238602335859194	1.698519274529249
Passaggio Intercettato	Passaggio	0.8696782746137767	0.16423227645172783	1.6014677025178954
Protezione Palla, Duello Offensivo	Duello Difensivo	0.8429926238145415	0.007702750844895483	4.1605778639871245
Passaggio Intercettato, Costruzione	Passaggio	0.8428030303030303	0.021423275787365564	1.3276721208097586
Costruzione	Passaggio	0.8338619709067046	0.1468144311037079	1.2562207176855547
Duello Difensivo	Duello Offensivo	0.833675792747265	0.2890842392089275	3.921092833884312
Duello Offensivo	Duello Difensivo	0.8311141868512112	0.2890842392089275	3.8679472340545877
Calci Piazzati Favore, Intercetto Cross	Calci Piazzati Contro	0.8271474019088016	0.007510182073773096	5.3549133419855375
Sostituzione	Subentro	0.826021180030257	0.0157713823549235	5.636532137844071
Passaggio, Duello Difensivo	Duello Offensivo	0.8189658521424964	0.2029771132015521	3.6024841991331344
Smarcamento, Duello Offensivo	Passaggio	0.8183266932270915	0.009888406397134576	1.1487985651261665
Duello Difensivo, Smarcamento	Passaggio	0.8176838810641628	0.010061718291144725	1.1447481186010404
Subentro	Sostituzione	0.8145201392342117	0.0157713823549235	5.288481467979102
Passaggio, Duello Offensivo	Duello Difensivo	0.8135926826444367	0.2029771132015521	3.5043764542455706
Attacco Linea Subito, Smarcamento	Passaggio	0.8113848768054376	0.009195158821093983	1.1065180278633135
Attacco Linea, Intercetto Cross	Attacco Linea Subito	0.8107382550335571	0.01163115377579218	4.527705285650849
Smarcamento, Attacco Linea	Passaggio	0.8071065989847716	0.009185530382537863	1.0819760191068761
Fallo, Calci Piazzati Contro	Fallo Subito	0.8052988293284042	0.012584369192847996	4.668058514336807
Transizione Offensiva	Passaggio	0.8039024390243903	0.007933833370242348	1.0642969402786282
Fallo, Calci Piazzati Favore	Fallo Subito	0.8030303030303031	0.012757681086858144	4.614295861178656
Attacco Linea Subito, Intercetto Cross	Attacco Linea	0.8010610079575597	0.01163115377579218	4.306103082063183
Fallo Subito, Calci Piazzati Contro	Calci Piazzati Favore	0.8001204093919325	0.012796194841082622	4.62795113091811
Duello Difensivo, Seconda Palla Difensiva	Duello Offensivo	0.8000442380004424	0.034826062257483706	3.2615847157314297
Protezione Palla, Duello Difensivo	Duello Offensivo	0.7992007992007992	0.007702750844895483	3.247884725459446
